City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
121,Shimoda,34.6667,138.95,57.0,52,7,1.01,JP,2021-05-02 22:03:00,clear sky
122,Isiro,2.7739,27.616,65.35,97,100,1.34,CD,2021-05-02 22:10:03,light rain
123,Portland,45.5234,-122.6762,66.0,36,20,6.91,US,2021-05-02 22:07:22,few clouds
124,Wanning,18.8003,110.3967,78.1,84,60,9.64,CN,2021-05-02 22:07:20,broken clouds
125,Ust-Ordynskiy,52.805,104.7508,39.2,81,40,15.66,RU,2021-05-02 22:10:07,scattered clouds
126,Torbat-E Jam,35.244,60.6225,68.4,42,100,10.8,IR,2021-05-02 22:10:08,overcast clouds
127,Riyadh,24.6877,46.7219,89.6,11,75,8.05,SA,2021-05-02 22:05:47,broken clouds
128,Evreux,49.0241,1.1508,41.0,87,0,4.61,FR,2021-05-02 22:10:10,clear sky
129,Ahipara,-35.1667,173.1667,60.26,61,0,2.35,NZ,2021-05-02 22:06:16,clear sky
130,Saint Anthony,45.0205,-93.218,66.99,48,90,5.75,US,2021-05-02 22:01:50,overcast clouds
131,Kumbo,6.2,10.6667,63.52,82,100,1.74,CM,2021-05-02 22:07:09,light rain
132,Touros,-5.1989,-35.4608,80.6,74,40,9.22,BR,2021-05-02 22:00:47,scattered clouds
133,Guozhen,34.3659,107.359,54.28,98,100,2.21,CN,2021-05-02 22:10:15,overcast clouds
134,Longyearbyen,78.2186,15.6401,17.6,79,20,8.05,SJ,2021-05-02 22:10:16,few clouds
135,Upernavik,72.7868,-56.1549,31.28,79,16,7.23,GL,2021-05-02 22:00:45,few clouds
136,Ponta Delgada,37.7333,-25.6667,60.8,82,40,5.75,PT,2021-05-02 22:10:18,scattered clouds
137,Yellowknife,62.456,-114.3525,30.2,37,1,10.36,CA,2021-05-02 22:00:31,clear sky
138,Medeiros Neto,-17.3739,-40.2206,69.31,82,73,7.61,BR,2021-05-02 22:10:21,broken clouds
139,Grand Forks,47.9417,-97.4337,66.2,30,90,14.97,US,2021-05-02 22:10:22,overcast clouds
140,Faanui,-16.4833,-151.75,81.1,67,22,9.48,PF,2021-05-02 22:03:41,few clouds
141,Kumluca,36.3703,30.2869,77.81,42,60,4.14,TR,2021-05-02 22:10:24,broken clouds
142,Guerrero Negro,27.9769,-114.0611,67.53,59,13,18.88,MX,2021-05-02 22:10:26,few clouds
